source_row,program,degree_confer_date,outcome_raw,outcome_report,known_outcome,positive_outcome,employer_raw,employer_report,role_raw,role_report,school_raw,school_report,degree_raw,degree_report,location_raw,state_raw,state_report,has_linkedin,has_li_lookup_date,has_survey_timestamp,has_interaction,has_doc_review_signal,cleanup_flags
2,MS,2025-09-01 00:00:00,Working,Working,True,True,Fidelity,Fidelity Investments,Associate Software Engineer,Associate Software Engineer,,,,,,"=RIGHT(T2,2)",,True,False,True,False,False,working_missing_state
3,MS,2025-09-01 00:00:00,Working,Working,True,True,Dell,Dell,Senior Software Engineer,Senior Software Engineer,,,,,,"=RIGHT(T3,2)",,True,True,True,False,False,working_missing_state
4,MS,2025-09-01 00:00:00,Working,Working,True,True,Datadog,Datadog,Customer Success Sales Engineer,Customer Success Sales Engineer,,,,,,"=RIGHT(T4,2)",,True,True,True,True,True,working_missing_state
5,MS,2025-09-01 00:00:00,Working,Working,True,True,Wells Fargo,Wells Fargo,Associate,Associate,,,,,,"=RIGHT(T5,2)",,True,True,True,False,False,working_missing_state
6,MS,2025-09-01 00:00:00,Working,Working,True,True,Oracle,Oracle,Senior Software Engineer,Senior Software Engineer,,,,,,"=RIGHT(T6,2)",,True,True,True,False,False,working_missing_state
7,MS,2025-09-01 00:00:00,Working,Working,True,True,Lassie,Lassie,Engineer,Engineer,,,,,"San Francisco, CA",CA,CA,True,True,True,True,False,
8,MS,2025-09-01 00:00:00,Working,Working,True,True,,,Product Manager,Product Manager,,,,,"Houston, TX",TX,TX,True,True,True,False,False,working_missing_employer
9,MS,2025-09-01 00:00:00,Working,Working,True,True,,,,,,,,,,"=RIGHT(T9,2)",,True,True,True,False,False,working_missing_employer;working_missing_role;working_missing_state
10,MS,2025-09-01 00:00:00,Working,Working,True,True,,,,,,,,,,"=RIGHT(T10,2)",,True,True,True,True,False,working_missing_employer;working_missing_role;working_missing_state
11,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T11,2)",,True,False,True,True,True,
12,MS,2026-01-01 00:00:00,Working,Working,True,True,JPMorgan Chase,JPMorgan Chase,Senior Applied AI/ML Associate,Senior Applied AI/ML Associate,,,,,,"=RIGHT(T12,2)",,True,False,True,False,False,working_missing_state
13,MS,2026-01-01 00:00:00,Working,Working,True,True,MITRE,MITRE,Cybersecurity Engineer,Cybersecurity Engineer,,,,,"Bedford, MA",MA,MA,True,False,True,True,False,
14,MS,2026-01-01 00:00:00,Working,Working,True,True,Amazon,Amazon,,,,,,,,"=RIGHT(T14,2)",,True,True,True,False,False,working_missing_role;working_missing_state
15,MS,2026-01-01 00:00:00,Working,Working,True,True,Zocdoc,Zocdoc,Search ML Intern,Search ML Intern,,,,,,"=RIGHT(T15,2)",,True,False,True,True,False,working_missing_state
16,MS,2026-01-01 00:00:00,Working,Working,True,True,Autodesk,Autodesk,Software Engineering Intern,Software Engineer Intern,,,,,,"=RIGHT(T16,2)",,True,False,True,True,True,working_missing_state
17,MS,2026-01-01 00:00:00,Working,Working,True,True,Scalable AI,Scalable AI,Software Engineer,Software Engineer,,,,,,"=RIGHT(T17,2)",,True,False,True,True,False,working_missing_state
18,MS,2026-01-01 00:00:00,Working,Working,True,True,Mercury Insurance,Mercury Insurance,ML / Data Science Rotational Program,ML / Data Science Rotational Program,,,,,"Boston, MA",MA,MA,True,True,True,True,True,
19,MS,2026-01-01 00:00:00,Working,Working,True,True,Oracle,Oracle,Software Engineer Intern,Software Engineer Intern,,,,,,"=RIGHT(T19,2)",,True,False,True,True,True,working_missing_state
20,Undergraduate,2026-01-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T20,2)",,True,True,True,False,False,
21,Undergraduate,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,,,#N/A,,#N/A,,,True,True,False,True,False,
22,MS,2026-01-01 00:00:00,Working,Working,True,True,Neuberger Berman,Neuberger Berman,Sr. Cloud Developer & VP,Sr. Cloud Developer & VP,,,,,,"=RIGHT(T22,2)",,True,True,True,False,False,working_missing_state
23,MS,2026-01-01 00:00:00,Working,Working,True,True,Intuit,Intuit,Software Engineer,Software Engineer,,,,,,"=RIGHT(T23,2)",,True,True,True,True,False,working_missing_state
24,MS,2026-01-01 00:00:00,Working,Working,True,True,PivotX Advisors,PivotX Advisors,Software Engineer,Software Engineer,,,,,,"=RIGHT(T24,2)",,True,False,True,True,True,working_missing_state
25,MS,2026-01-01 00:00:00,Working,Working,True,True,IntusCare,IntusCare,,,,,,,,"=RIGHT(T25,2)",,True,True,True,False,False,working_missing_role;working_missing_state
26,MS,2026-01-01 00:00:00,Working,Working,True,True,Raytheon,Raytheon,,,,,,,,"=RIGHT(T26,2)",,True,False,True,True,True,working_missing_role;working_missing_state
27,MS,2026-01-01 00:00:00,Working,Working,True,True,IBM,IBM,Software Engineer,Software Engineer,,,,,,"=RIGHT(T27,2)",,True,False,True,False,False,working_missing_state
